participant.id,camera,size,pinch.to.zoom,rubberbanding,price,rating
1,3mp,6.1in,Yes,No,$659,38
1,3mp,6.1in,Yes,Yes,$199,59
1,3mp,6.1in,Yes,Yes,$359,52
1,3mp,6.1in,Yes,Yes,$499,51
1,3mp,6.1in,Yes,Yes,$659,44
1,3mp,6.4in,No,No,$199,47
1,3mp,6.4in,No,No,$359,55
1,3mp,6.4in,No,No,$499,50
1,3mp,6.4in,No,No,$659,41
1,3mp,6.4in,No,Yes,$199,62
1,3mp,6.4in,No,Yes,$359,46
1,3mp,6.4in,No,Yes,$499,47
1,3mp,6.4in,No,Yes,$659,40
1,3mp,6.4in,Yes,No,$199,59
1,3mp,6.4in,Yes,No,$359,55
1,3mp,6.4in,Yes,No,$499,49
1,3mp,6.4in,Yes,No,$659,44
1,3mp,6.4in,Yes,Yes,$199,53
1,3mp,6.4in,Yes,Yes,$359,56
1,3mp,6.4in,Yes,Yes,$499,37
1,3mp,6.4in,Yes,Yes,$659,34
1,8mp,5.8in,No,No,$199,52
1,8mp,5.8in,No,No,$359,39
1,8mp,5.8in,No,No,$499,57
1,8mp,5.8in,No,No,$659,56
1,8mp,5.8in,No,Yes,$199,66
1,8mp,5.8in,No,Yes,$359,46
1,8mp,5.8in,No,Yes,$499,50
1,8mp,5.8in,No,Yes,$659,43
1,8mp,5.8in,Yes,No,$199,46
1,8mp,5.8in,Yes,No,$359,38
1,8mp,5.8in,Yes,No,$499,64
1,8mp,5.8in,Yes,No,$659,37
1,8mp,5.8in,Yes,Yes,$199,66
1,8mp,5.8in,Yes,Yes,$359,30
1,8mp,5.8in,Yes,Yes,$499,45
1,8mp,5.8in,Yes,Yes,$659,49
1,8mp,6.1in,No,No,$199,51
1,8mp,6.1in,No,No,$359,62
1,8mp,6.1in,No,No,$499,48
1,8mp,6.1in,No,No,$659,47
1,8mp,6.1in,No,Yes,$199,56
1,8mp,6.1in,No,Yes,$359,41
1,8mp,6.1in,No,Yes,$499,47
1,8mp,6.1in,No,Yes,$659,63
1,8mp,6.1in,Yes,No,$199,69
1,8mp,6.1in,Yes,No,$359,56
1,8mp,6.1in,Yes,No,$499,59
1,8mp,6.1in,Yes,No,$659,52
1,8mp,6.1in,Yes,Yes,$199,51
1,8mp,6.1in,Yes,Yes,$359,59
1,8mp,6.1in,Yes,Yes,$499,59
1,8mp,6.1in,Yes,Yes,$659,52
1,8mp,6.4in,No,No,$199,54
1,8mp,6.4in,No,No,$359,48
1,8mp,6.4in,No,No,$499,57
1,8mp,6.4in,No,No,$659,44
1,8mp,6.4in,No,Yes,$199,58
1,8mp,6.4in,No,Yes,$359,52
1,8mp,6.4in,No,Yes,$499,54
1,8mp,6.4in,No,Yes,$659,43
1,8mp,6.4in,Yes,No,$199,58
1,8mp,6.4in,Yes,No,$359,49
1,8mp,6.4in,Yes,No,$499,58
1,8mp,6.4in,Yes,No,$659,50
1,8mp,6.4in,Yes,Yes,$199,50
1,8mp,6.4in,Yes,Yes,$359,51
1,8mp,6.4in,Yes,Yes,$499,47
1,8mp,6.4in,Yes,Yes,$659,56
2,12mp,5.8in,No,No,$199,61
2,12mp,5.8in,No,No,$359,68
2,12mp,5.8in,No,No,$499,55
2,12mp,5.8in,No,No,$659,54
2,12mp,5.8in,No,Yes,$199,64
2,12mp,5.8in,No,Yes,$359,55
2,12mp,5.8in,No,Yes,$499,66
2,12mp,5.8in,No,Yes,$659,56
2,12mp,5.8in,Yes,No,$199,58
2,12mp,5.8in,Yes,No,$359,67
2,12mp,5.8in,Yes,No,$499,48
2,12mp,5.8in,Yes,No,$659,58
2,12mp,5.8in,Yes,Yes,$199,70
2,12mp,5.8in,Yes,Yes,$359,63
2,12mp,5.8in,Yes,Yes,$499,62
2,12mp,5.8in,Yes,Yes,$659,61
2,12mp,6.1in,No,No,$199,71
2,12mp,6.1in,No,No,$359,61
2,12mp,6.1in,No,No,$499,59
2,12mp,6.1in,No,No,$659,53
2,12mp,6.1in,No,Yes,$199,55
2,12mp,6.1in,No,Yes,$359,55
2,12mp,6.1in,No,Yes,$499,48
2,12mp,6.1in,No,Yes,$659,66
2,12mp,6.1in,Yes,No,$199,52
2,12mp,6.1in,Yes,No,$359,64
2,12mp,6.1in,Yes,No,$499,59
2,12mp,6.1in,Yes,No,$659,56
2,12mp,6.1in,Yes,Yes,$199,76
2,12mp,6.1in,Yes,Yes,$359,49
2,12mp,6.1in,Yes,Yes,$499,53
2,12mp,6.1in,Yes,Yes,$659,66
2,12mp,6.4in,No,No,$199,59
2,12mp,6.4in,No,No,$359,60
2,12mp,6.4in,No,No,$499,53
2,12mp,6.4in,No,No,$659,46
2,12mp,6.4in,No,Yes,$199,63
2,12mp,6.4in,No,Yes,$359,68
2,12mp,6.4in,No,Yes,$499,57
2,12mp,6.4in,No,Yes,$659,58
2,12mp,6.4in,Yes,No,$199,66
2,12mp,6.4in,Yes,No,$359,56
2,12mp,6.4in,Yes,No,$499,59
2,12mp,6.4in,Yes,No,$659,48
2,12mp,6.4in,Yes,Yes,$199,58
2,12mp,6.4in,Yes,Yes,$359,52
2,12mp,6.4in,Yes,Yes,$499,67
2,12mp,6.4in,Yes,Yes,$659,50
2,3mp,5.8in,No,No,$199,59
2,3mp,5.8in,No,No,$359,71
2,3mp,5.8in,No,No,$499,79
2,3mp,5.8in,No,No,$659,59
2,3mp,5.8in,No,Yes,$199,65
2,3mp,5.8in,No,Yes,$359,48
2,3mp,5.8in,No,Yes,$499,68
2,3mp,5.8in,No,Yes,$659,57
2,3mp,5.8in,Yes,No,$199,64
2,3mp,5.8in,Yes,No,$359,62
2,3mp,5.8in,Yes,No,$499,54
2,3mp,5.8in,Yes,No,$659,50
2,3mp,5.8in,Yes,Yes,$199,71
2,3mp,5.8in,Yes,Yes,$359,49
2,3mp,5.8in,Yes,Yes,$499,64
2,3mp,5.8in,Yes,Yes,$659,56
2,3mp,6.1in,No,No,$199,70
2,3mp,6.1in,No,No,$359,51
2,3mp,6.1in,No,No,$499,71
2,3mp,6.1in,No,No,$659,51
2,3mp,6.1in,No,Yes,$199,64
2,3mp,6.1in,No,Yes,$359,68
2,3mp,6.1in,No,Yes,$499,58
2,3mp,6.1in,No,Yes,$659,57
2,3mp,6.1in,Yes,No,$199,52
2,3mp,6.1in,Yes,No,$359,71
2,3mp,6.1in,Yes,No,$499,44
2,3mp,6.1in,Yes,No,$659,57
2,3mp,6.1in,Yes,Yes,$199,56
2,3mp,6.1in,Yes,Yes,$359,69
2,3mp,6.1in,Yes,Yes,$499,56
2,3mp,6.1in,Yes,Yes,$659,51
2,3mp,6.4in,No,No,$199,64
2,3mp,6.4in,No,No,$359,61
2,3mp,6.4in,No,No,$499,55
2,3mp,6.4in,No,No,$659,43
2,3mp,6.4in,No,Yes,$199,60
2,3mp,6.4in,No,Yes,$359,40
2,3mp,6.4in,No,Yes,$499,49
2,3mp,6.4in,No,Yes,$659,55
2,3mp,6.4in,Yes,No,$199,61
2,3mp,6.4in,Yes,No,$359,59
2,3mp,6.4in,Yes,No,$499,59
2,3mp,6.4in,Yes,No,$659,71
2,3mp,6.4in,Yes,Yes,$199,74
2,3mp,6.4in,Yes,Yes,$359,71
2,3mp,6.4in,Yes,Yes,$499,73
2,3mp,6.4in,Yes,Yes,$659,54
2,8mp,5.8in,No,No,$199,73
2,8mp,5.8in,No,No,$359,43
2,8mp,5.8in,No,No,$499,41
2,8mp,5.8in,No,No,$659,54
2,8mp,5.8in,No,Yes,$199,55
2,8mp,5.8in,No,Yes,$359,56
2,8mp,5.8in,No,Yes,$499,56
2,8mp,5.8in,No,Yes,$659,59
2,8mp,5.8in,Yes,No,$199,57
2,8mp,5.8in,Yes,No,$359,68
2,8mp,5.8in,Yes,No,$499,52
2,8mp,5.8in,Yes,No,$659,64
2,8mp,5.8in,Yes,Yes,$199,60
2,8mp,5.8in,Yes,Yes,$359,67
2,8mp,5.8in,Yes,Yes,$499,71
2,8mp,5.8in,Yes,Yes,$659,60
2,8mp,6.1in,No,No,$199,46
2,8mp,6.1in,No,No,$359,66
2,8mp,6.1in,No,No,$499,55
2,8mp,6.1in,No,No,$659,58
2,8mp,6.1in,No,Yes,$199,55
2,8mp,6.1in,No,Yes,$359,67
2,8mp,6.1in,No,Yes,$499,52
2,8mp,6.1in,No,Yes,$659,63
2,8mp,6.1in,Yes,No,$199,58
2,8mp,6.1in,Yes,No,$359,60
2,8mp,6.1in,Yes,No,$499,63
2,8mp,6.1in,Yes,No,$659,59
2,8mp,6.1in,Yes,Yes,$199,57
2,8mp,6.1in,Yes,Yes,$359,51
2,8mp,6.1in,Yes,Yes,$499,51
2,8mp,6.1in,Yes,Yes,$659,78
2,8mp,6.4in,No,No,$199,41
2,8mp,6.4in,No,No,$359,62
2,8mp,6.4in,No,No,$499,56
2,8mp,6.4in,No,No,$659,41
2,8mp,6.4in,No,Yes,$199,82
2,8mp,6.4in,No,Yes,$359,60
2,8mp,6.4in,No,Yes,$499,54
2,8mp,6.4in,No,Yes,$659,67
2,8mp,6.4in,Yes,No,$199,57
2,8mp,6.4in,Yes,No,$359,64
2,8mp,6.4in,Yes,No,$499,51
2,8mp,6.4in,Yes,No,$659,58
2,8mp,6.4in,Yes,Yes,$199,68
2,8mp,6.4in,Yes,Yes,$359,60
2,8mp,6.4in,Yes,Yes,$499,60
2,8mp,6.4in,Yes,Yes,$659,66
3,12mp,5.8in,No,No,$199,60
3,12mp,5.8in,No,No,$359,58
3,12mp,5.8in,No,No,$499,55
3,12mp,5.8in,No,No,$659,62
3,12mp,5.8in,No,Yes,$199,59
3,12mp,5.8in,No,Yes,$359,44
3,12mp,5.8in,No,Yes,$499,61
3,12mp,5.8in,No,Yes,$659,43
3,12mp,5.8in,Yes,No,$199,53
3,12mp,5.8in,Yes,No,$359,59
3,12mp,5.8in,Yes,No,$499,67
3,12mp,5.8in,Yes,No,$659,53
3,12mp,5.8in,Yes,Yes,$199,70
3,12mp,5.8in,Yes,Yes,$359,57
3,12mp,5.8in,Yes,Yes,$499,71
3,12mp,5.8in,Yes,Yes,$659,56
3,12mp,6.1in,No,No,$199,60
3,12mp,6.1in,No,No,$359,50
3,12mp,6.1in,No,No,$499,61
3,12mp,6.1in,No,No,$659,61
3,12mp,6.1in,No,Yes,$199,61
3,12mp,6.1in,No,Yes,$359,61
3,12mp,6.1in,No,Yes,$499,58
3,12mp,6.1in,No,Yes,$659,58
3,12mp,6.1in,Yes,No,$199,59
3,12mp,6.1in,Yes,No,$359,68
3,12mp,6.1in,Yes,No,$499,56
3,12mp,6.1in,Yes,No,$659,63
3,12mp,6.1in,Yes,Yes,$199,55
3,12mp,6.1in,Yes,Yes,$359,60
3,12mp,6.1in,Yes,Yes,$499,58
3,12mp,6.1in,Yes,Yes,$659,54
3,12mp,6.4in,No,No,$199,60
3,12mp,6.4in,No,No,$359,52
3,12mp,6.4in,No,No,$499,55
3,12mp,6.4in,No,No,$659,54
3,12mp,6.4in,No,Yes,$199,63
3,12mp,6.4in,No,Yes,$359,60
3,12mp,6.4in,No,Yes,$499,58
3,12mp,6.4in,No,Yes,$659,51
3,12mp,6.4in,Yes,No,$199,76
3,12mp,6.4in,Yes,No,$359,58
3,12mp,6.4in,Yes,No,$499,67
3,12mp,6.4in,Yes,No,$659,62
3,12mp,6.4in,Yes,Yes,$199,66
3,12mp,6.4in,Yes,Yes,$359,50
3,12mp,6.4in,Yes,Yes,$499,54
3,12mp,6.4in,Yes,Yes,$659,61
3,3mp,5.8in,No,No,$199,62
3,3mp,5.8in,No,No,$359,47
3,3mp,5.8in,No,No,$499,60
3,3mp,5.8in,No,No,$659,39
3,3mp,5.8in,No,Yes,$199,71
3,3mp,5.8in,No,Yes,$359,61
3,3mp,5.8in,No,Yes,$499,56
3,3mp,5.8in,No,Yes,$659,64
3,3mp,5.8in,Yes,No,$199,68
3,3mp,5.8in,Yes,No,$359,43
3,3mp,5.8in,Yes,No,$499,66
3,3mp,5.8in,Yes,No,$659,55
3,3mp,5.8in,Yes,Yes,$199,56
3,3mp,5.8in,Yes,Yes,$359,65
3,3mp,5.8in,Yes,Yes,$499,48
3,3mp,5.8in,Yes,Yes,$659,48
3,3mp,6.1in,No,No,$199,67
3,3mp,6.1in,No,No,$359,52
3,3mp,6.1in,No,No,$499,52
3,3mp,6.1in,No,No,$659,43
3,3mp,6.1in,No,Yes,$199,74
3,3mp,6.1in,No,Yes,$359,68
3,3mp,6.1in,No,Yes,$499,57
3,3mp,6.1in,No,Yes,$659,56
3,3mp,6.1in,Yes,No,$199,57
3,3mp,6.1in,Yes,No,$359,67
3,3mp,6.1in,Yes,No,$499,57
3,3mp,6.1in,Yes,No,$659,53
3,3mp,6.1in,Yes,Yes,$199,65
3,3mp,6.1in,Yes,Yes,$359,72
3,3mp,6.1in,Yes,Yes,$499,56
3,3mp,6.1in,Yes,Yes,$659,61
3,3mp,6.4in,No,No,$199,67
3,3mp,6.4in,No,No,$359,56
3,3mp,6.4in,No,No,$499,41
3,3mp,6.4in,No,No,$659,53
3,3mp,6.4in,No,Yes,$199,64
3,3mp,6.4in,No,Yes,$359,37
3,3mp,6.4in,No,Yes,$499,66
3,3mp,6.4in,No,Yes,$659,59
3,3mp,6.4in,Yes,No,$199,64
3,3mp,6.4in,Yes,No,$359,47
3,3mp,6.4in,Yes,No,$499,49
3,3mp,6.4in,Yes,No,$659,60
3,3mp,6.4in,Yes,Yes,$199,48
3,3mp,6.4in,Yes,Yes,$359,59
3,3mp,6.4in,Yes,Yes,$499,49
3,3mp,6.4in,Yes,Yes,$659,62
3,8mp,5.8in,No,No,$199,71
3,8mp,5.8in,No,No,$359,61
3,8mp,5.8in,No,No,$499,57
3,8mp,5.8in,No,No,$659,59
3,8mp,5.8in,No,Yes,$199,70
3,8mp,5.8in,No,Yes,$359,46
3,8mp,5.8in,No,Yes,$499,58
3,8mp,5.8in,No,Yes,$659,61
3,8mp,5.8in,Yes,No,$199,65
3,8mp,5.8in,Yes,No,$359,60
3,8mp,5.8in,Yes,No,$499,44
3,8mp,5.8in,Yes,No,$659,52
3,8mp,5.8in,Yes,Yes,$199,64
3,8mp,5.8in,Yes,Yes,$359,74
3,8mp,5.8in,Yes,Yes,$499,56
3,8mp,5.8in,Yes,Yes,$659,55
3,8mp,6.1in,No,No,$199,48
3,8mp,6.1in,No,No,$359,55
3,8mp,6.1in,No,No,$499,53
3,8mp,6.1in,No,No,$659,58
3,8mp,6.1in,No,Yes,$199,60
3,8mp,6.1in,No,Yes,$359,63
3,8mp,6.1in,No,Yes,$499,50
3,8mp,6.1in,No,Yes,$659,52
3,8mp,6.1in,Yes,No,$199,66
3,8mp,6.1in,Yes,No,$359,61
3,8mp,6.1in,Yes,No,$499,61
3,8mp,6.1in,Yes,No,$659,47
3,8mp,6.1in,Yes,Yes,$199,71
3,8mp,6.1in,Yes,Yes,$359,55
3,8mp,6.1in,Yes,Yes,$499,63
3,8mp,6.1in,Yes,Yes,$659,67
3,8mp,6.4in,No,No,$199,74
3,8mp,6.4in,No,No,$359,44
3,8mp,6.4in,No,No,$499,73
3,8mp,6.4in,No,No,$659,58
3,8mp,6.4in,No,Yes,$199,62
3,8mp,6.4in,No,Yes,$359,57
3,8mp,6.4in,No,Yes,$499,51
3,8mp,6.4in,No,Yes,$659,55
3,8mp,6.4in,Yes,No,$199,63
3,8mp,6.4in,Yes,No,$359,58
3,8mp,6.4in,Yes,No,$499,62
3,8mp,6.4in,Yes,No,$659,63
3,8mp,6.4in,Yes,Yes,$199,64
3,8mp,6.4in,Yes,Yes,$359,68
3,8mp,6.4in,Yes,Yes,$499,61
3,8mp,6.4in,Yes,Yes,$659,59
4,12mp,5.8in,No,No,$199,69
4,12mp,5.8in,No,No,$359,71
4,12mp,5.8in,No,No,$499,80
4,12mp,5.8in,No,No,$659,73
4,12mp,5.8in,No,Yes,$199,68
4,12mp,5.8in,No,Yes,$359,73
4,12mp,5.8in,No,Yes,$499,70
4,12mp,5.8in,No,Yes,$659,68
4,12mp,5.8in,Yes,No,$199,76
4,12mp,5.8in,Yes,No,$359,78
4,12mp,5.8in,Yes,No,$499,59
4,12mp,5.8in,Yes,No,$659,88
4,12mp,5.8in,Yes,Yes,$199,83
4,12mp,5.8in,Yes,Yes,$359,81
4,12mp,5.8in,Yes,Yes,$499,71
4,12mp,5.8in,Yes,Yes,$659,84
4,12mp,6.1in,No,No,$199,83
4,12mp,6.1in,No,No,$359,92
4,12mp,6.1in,No,No,$499,62
4,12mp,6.1in,No,No,$659,71
4,12mp,6.1in,No,Yes,$199,81
4,12mp,6.1in,No,Yes,$359,91
4,12mp,6.1in,No,Yes,$499,73
4,12mp,6.1in,No,Yes,$659,67
4,12mp,6.1in,Yes,No,$199,75
4,12mp,6.1in,Yes,No,$359,73
4,12mp,6.1in,Yes,No,$499,76
4,12mp,6.1in,Yes,No,$659,68
4,12mp,6.1in,Yes,Yes,$199,74
4,12mp,6.1in,Yes,Yes,$359,83
4,12mp,6.1in,Yes,Yes,$499,71
4,12mp,6.1in,Yes,Yes,$659,64
4,12mp,6.4in,No,No,$199,80
4,12mp,6.4in,No,No,$359,62
4,12mp,6.4in,No,No,$499,60
4,12mp,6.4in,No,No,$659,78
4,12mp,6.4in,No,Yes,$199,73
4,12mp,6.4in,No,Yes,$359,80
4,12mp,6.4in,No,Yes,$499,89
4,12mp,6.4in,No,Yes,$659,71
4,12mp,6.4in,Yes,No,$199,96
4,12mp,6.4in,Yes,No,$359,68
4,12mp,6.4in,Yes,No,$499,81
4,12mp,6.4in,Yes,No,$659,72
4,12mp,6.4in,Yes,Yes,$199,76
4,12mp,6.4in,Yes,Yes,$359,67
4,12mp,6.4in,Yes,Yes,$499,80
4,12mp,6.4in,Yes,Yes,$659,70
4,3mp,5.8in,No,No,$199,80
4,3mp,5.8in,No,No,$359,69
4,3mp,5.8in,No,No,$499,59
4,3mp,5.8in,No,No,$659,75
4,3mp,5.8in,No,Yes,$199,71
4,3mp,5.8in,No,Yes,$359,71
4,3mp,5.8in,No,Yes,$499,58
4,3mp,5.8in,No,Yes,$659,63
4,3mp,5.8in,Yes,No,$199,68
4,3mp,5.8in,Yes,No,$359,79
4,3mp,5.8in,Yes,No,$499,66
4,3mp,5.8in,Yes,No,$659,67
4,3mp,5.8in,Yes,Yes,$199,86
4,3mp,5.8in,Yes,Yes,$359,79
4,3mp,5.8in,Yes,Yes,$499,69
4,3mp,5.8in,Yes,Yes,$659,75
4,3mp,6.1in,No,No,$199,77
4,3mp,6.1in,No,No,$359,64
4,3mp,6.1in,No,No,$499,68
4,3mp,6.1in,No,No,$659,71
4,3mp,6.1in,No,Yes,$199,82
4,3mp,6.1in,No,Yes,$359,70
4,3mp,6.1in,No,Yes,$499,61
4,3mp,6.1in,No,Yes,$659,71
4,3mp,6.1in,Yes,No,$199,63
4,3mp,6.1in,Yes,No,$359,77
4,3mp,6.1in,Yes,No,$499,71
4,3mp,6.1in,Yes,No,$659,79
4,3mp,6.1in,Yes,Yes,$199,69
4,3mp,6.1in,Yes,Yes,$359,76
4,3mp,6.1in,Yes,Yes,$499,64
4,3mp,6.1in,Yes,Yes,$659,71
4,3mp,6.4in,No,No,$199,77
4,3mp,6.4in,No,No,$359,58
4,3mp,6.4in,No,No,$499,53
4,3mp,6.4in,No,No,$659,65
4,3mp,6.4in,No,Yes,$199,62
4,3mp,6.4in,No,Yes,$359,59
4,3mp,6.4in,No,Yes,$499,61
4,3mp,6.4in,No,Yes,$659,57
4,3mp,6.4in,Yes,No,$199,67
4,3mp,6.4in,Yes,No,$359,72
4,3mp,6.4in,Yes,No,$499,73
4,3mp,6.4in,Yes,No,$659,69
4,3mp,6.4in,Yes,Yes,$199,66
4,3mp,6.4in,Yes,Yes,$359,71
4,3mp,6.4in,Yes,Yes,$499,63
4,3mp,6.4in,Yes,Yes,$659,73
4,8mp,5.8in,No,No,$199,68
4,8mp,5.8in,No,No,$359,80
4,8mp,5.8in,No,No,$499,57
4,8mp,5.8in,No,No,$659,67
4,8mp,5.8in,No,Yes,$199,77
4,8mp,5.8in,No,Yes,$359,55
4,8mp,5.8in,No,Yes,$499,72
4,8mp,5.8in,No,Yes,$659,72
4,8mp,5.8in,Yes,No,$199,80
4,8mp,5.8in,Yes,No,$359,73
4,8mp,5.8in,Yes,No,$499,72
4,8mp,5.8in,Yes,No,$659,72
4,8mp,5.8in,Yes,Yes,$199,82
4,8mp,5.8in,Yes,Yes,$359,71
4,8mp,5.8in,Yes,Yes,$499,77
4,8mp,5.8in,Yes,Yes,$659,78
4,8mp,6.1in,No,No,$199,85
4,8mp,6.1in,No,No,$359,81
4,8mp,6.1in,No,No,$499,74
4,8mp,6.1in,No,No,$659,66
4,8mp,6.1in,No,Yes,$199,81
4,8mp,6.1in,No,Yes,$359,70
4,8mp,6.1in,No,Yes,$499,71
4,8mp,6.1in,No,Yes,$659,76
4,8mp,6.1in,Yes,No,$199,70
4,8mp,6.1in,Yes,No,$359,73
4,8mp,6.1in,Yes,No,$499,67
4,8mp,6.1in,Yes,No,$659,73
4,8mp,6.1in,Yes,Yes,$199,80
4,8mp,6.1in,Yes,Yes,$359,76
4,8mp,6.1in,Yes,Yes,$499,75
4,8mp,6.1in,Yes,Yes,$659,65
4,8mp,6.4in,No,No,$199,82
4,8mp,6.4in,No,No,$359,73
4,8mp,6.4in,No,No,$499,63
4,8mp,6.4in,No,No,$659,61
4,8mp,6.4in,No,Yes,$199,81
4,8mp,6.4in,No,Yes,$359,65
4,8mp,6.4in,No,Yes,$499,79
4,8mp,6.4in,No,Yes,$659,68
4,8mp,6.4in,Yes,No,$199,82
4,8mp,6.4in,Yes,No,$359,69
4,8mp,6.4in,Yes,No,$499,68
4,8mp,6.4in,Yes,No,$659,74
4,8mp,6.4in,Yes,Yes,$199,91
4,8mp,6.4in,Yes,Yes,$359,80
4,8mp,6.4in,Yes,Yes,$499,85
4,8mp,6.4in,Yes,Yes,$659,75
5,12mp,5.8in,No,No,$199,37
5,12mp,5.8in,No,No,$359,34
5,12mp,5.8in,No,No,$499,43
5,12mp,5.8in,No,No,$659,23
5,12mp,5.8in,No,Yes,$199,38
5,12mp,5.8in,No,Yes,$359,29
5,12mp,5.8in,No,Yes,$499,38
5,12mp,5.8in,No,Yes,$659,34
5,12mp,5.8in,Yes,No,$199,51
5,12mp,5.8in,Yes,No,$359,30
5,12mp,5.8in,Yes,No,$499,38
5,12mp,5.8in,Yes,No,$659,31
5,12mp,5.8in,Yes,Yes,$199,47
5,12mp,5.8in,Yes,Yes,$359,50
5,12mp,5.8in,Yes,Yes,$499,30
5,12mp,5.8in,Yes,Yes,$659,42
5,12mp,6.1in,No,No,$199,55
5,12mp,6.1in,No,No,$359,42
5,12mp,6.1in,No,No,$499,34
5,12mp,6.1in,No,No,$659,33
5,12mp,6.1in,No,Yes,$199,41
5,12mp,6.1in,No,Yes,$359,38
5,12mp,6.1in,No,Yes,$499,31
5,12mp,6.1in,No,Yes,$659,27
5,12mp,6.1in,Yes,No,$199,36
5,12mp,6.1in,Yes,No,$359,49
5,12mp,6.1in,Yes,No,$499,29
5,12mp,6.1in,Yes,No,$659,33
5,12mp,6.1in,Yes,Yes,$199,52
5,12mp,6.1in,Yes,Yes,$359,35
5,12mp,6.1in,Yes,Yes,$499,38
5,12mp,6.1in,Yes,Yes,$659,19
5,12mp,6.4in,No,No,$199,27
5,12mp,6.4in,No,No,$359,45
5,12mp,6.4in,No,No,$499,34
5,12mp,6.4in,No,No,$659,20
5,12mp,6.4in,No,Yes,$199,34
5,12mp,6.4in,No,Yes,$359,37
5,12mp,6.4in,No,Yes,$499,37
5,12mp,6.4in,No,Yes,$659,22
5,12mp,6.4in,Yes,No,$199,45
5,12mp,6.4in,Yes,No,$359,32
5,12mp,6.4in,Yes,No,$499,46
5,12mp,6.4in,Yes,No,$659,36
5,12mp,6.4in,Yes,Yes,$199,49
5,12mp,6.4in,Yes,Yes,$359,28
5,12mp,6.4in,Yes,Yes,$499,34
5,12mp,6.4in,Yes,Yes,$659,33
5,3mp,5.8in,No,No,$199,32
5,3mp,5.8in,No,No,$359,32
5,3mp,5.8in,No,No,$499,38
5,3mp,5.8in,No,No,$659,21
5,3mp,5.8in,No,Yes,$199,35
5,3mp,5.8in,No,Yes,$359,32
5,3mp,5.8in,No,Yes,$499,40
5,3mp,5.8in,No,Yes,$659,25
5,3mp,5.8in,Yes,No,$199,47
